candidate,fold,delivery_date,feedback_cutoff,n_feedback,coverage_state_95,coverage_state_90,coverage_state_80,coverage_state_50,rank_95,rank_90,rank_80,rank_50
c2_aci_gamma_0.000001,fold_1,2020-07-01,2020-06-29,0,0.95,0.9,0.8,0.5,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-02,2020-06-30,0,0.95,0.9,0.8,0.5,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-03,2020-07-01,24,0.9499988,0.8999976,0.8000002,0.499995,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-04,2020-07-02,48,0.9499976,0.8999992,0.8000084,0.500007,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-05,2020-07-03,72,0.9499974,0.9000008,0.8000096,0.500012,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-06,2020-07-04,96,0.9499962,0.9000004,0.8000098,0.500007,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-07,2020-07-05,120,0.950009,0.900013,0.80002,0.500016,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-08,2020-07-06,144,0.9500078,0.9000106,0.8000242,0.500019,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-09,2020-07-07,168,0.9500066,0.9000202,0.8000384,0.50003,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-10,2020-07-08,192,0.9500124,0.9000298,0.8000496,0.500041,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-11,2020-07-09,216,0.9500112,0.9000294,0.8000478,0.500048,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-12,2020-07-10,240,0.95001,0.900028,0.800046,0.500045,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-13,2020-07-11,264,0.9500088,0.9000256,0.8000412,0.500045,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-14,2020-07-12,288,0.9500076,0.9000232,0.8000374,0.50005,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-15,2020-07-13,312,0.9500064,0.9000298,0.8000456,0.500062,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-16,2020-07-14,336,0.9500052,0.9000274,0.8000408,0.500055,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-17,2020-07-15,360,0.950004,0.900025,0.800039,0.500051,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-18,2020-07-16,384,0.9500038,0.9000236,0.8000392,0.500048,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-19,2020-07-17,408,0.9500026,0.9000212,0.8000344,0.50004,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-20,2020-07-18,432,0.9500014,0.9000188,0.8000356,0.500037,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-21,2020-07-19,456,0.9500002,0.9000164,0.8000308,0.500027,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-22,2020-07-20,480,0.949999,0.900014,0.800031,0.500027,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-23,2020-07-21,504,0.9499988,0.9000146,0.8000342,0.500038,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-24,2020-07-22,528,0.9499976,0.9000122,0.8000374,0.500041,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-25,2020-07-23,552,0.9499964,0.9000138,0.8000396,0.500037,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-26,2020-07-24,576,0.9499992,0.9000194,0.8000448,0.500044,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-27,2020-07-25,600,0.949998,0.900018,0.800045,0.500045,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-28,2020-07-26,624,0.9499988,0.9000176,0.8000502,0.500055,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-29,2020-07-27,648,0.9499976,0.9000162,0.8000534,0.50006,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-30,2020-07-28,672,0.9500044,0.9000228,0.8000616,0.500067,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-07-31,2020-07-29,696,0.9500112,0.9000314,0.8000688,0.500069,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-01,2020-07-30,720,0.950012,0.900032,0.800069,0.500072,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-02,2020-07-31,744,0.9500108,0.9000346,0.8000802,0.500084,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-03,2020-08-01,768,0.9500096,0.9000322,0.8000754,0.500078,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-04,2020-08-02,792,0.9500084,0.9000298,0.8000796,0.500085,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-05,2020-08-03,816,0.9500072,0.9000274,0.8000768,0.500091,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-06,2020-08-04,840,0.950006,0.900025,0.800074,0.500082,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-07,2020-08-05,864,0.9500108,0.9000336,0.8000822,0.500087,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-08,2020-08-06,888,0.9500096,0.9000322,0.8000804,0.500088,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-09,2020-08-07,912,0.9500084,0.9000298,0.8000756,0.500078,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-10,2020-08-08,936,0.9500072,0.9000274,0.8000708,0.500067,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-11,2020-08-09,960,0.950006,0.900025,0.800067,0.500058,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-12,2020-08-10,984,0.9500048,0.9000226,0.8000622,0.500057,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-13,2020-08-11,1008,0.9500036,0.9000242,0.8000634,0.500063,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-14,2020-08-12,1032,0.9500044,0.9000248,0.8000616,0.500067,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-15,2020-08-13,1056,0.9500032,0.9000224,0.8000578,0.500061,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-16,2020-08-14,1080,0.950002,0.900022,0.80006,0.500065,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-17,2020-08-15,1104,0.9500008,0.9000196,0.8000552,0.500063,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-18,2020-08-16,1128,0.9499996,0.9000172,0.8000504,0.500052,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-19,2020-08-17,1152,0.9499984,0.9000158,0.8000486,0.500051,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-20,2020-08-18,1176,0.9499972,0.9000144,0.8000448,0.500053,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-21,2020-08-19,1200,0.949996,0.900014,0.800044,0.500061,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-22,2020-08-20,1224,0.9499988,0.9000186,0.8000492,0.500066,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-23,2020-08-21,1248,0.9500076,0.9000352,0.8000644,0.500076,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-24,2020-08-22,1272,0.9500064,0.9000328,0.8000596,0.500074,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-25,2020-08-23,1296,0.9500052,0.9000304,0.8000548,0.500066,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-26,2020-08-24,1320,0.950008,0.900041,0.800068,0.500073,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-27,2020-08-25,1344,0.9500118,0.9000446,0.8000732,0.500074,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-28,2020-08-26,1368,0.9500296,0.9000652,0.8000924,0.500086,1369,1297,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-29,2020-08-27,1392,0.9500384,0.9000748,0.8001036,0.500094,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-30,2020-08-28,1416,0.9500382,0.9000744,0.8001038,0.500093,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-08-31,2020-08-29,1440,0.950037,0.900073,0.800104,0.500103,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-09-01,2020-08-30,1464,0.9500358,0.9000736,0.8001112,0.50011,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-09-02,2020-08-31,1488,0.9500456,0.9000862,0.8001214,0.500117,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-09-03,2020-09-01,1512,0.9500464,0.9000898,0.8001276,0.50012,1370,1298,1153,721
c2_aci_gamma_0.000001,fold_1,2020-09-04,2020-09-02,1536,0.9500512,0.9000974,0.8001388,0.500128,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-05,2020-09-03,1560,0.950056,0.900104,0.800151,0.500137,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-06,2020-09-04,1584,0.9500558,0.9001086,0.8001572,0.500142,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-07,2020-09-05,1608,0.9500546,0.9001072,0.8001544,0.500142,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-08,2020-09-06,1632,0.9500534,0.9001048,0.8001516,0.500145,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-09,2020-09-07,1656,0.9500522,0.9001034,0.8001548,0.500146,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-10,2020-09-08,1680,0.950058,0.90011,0.800167,0.500155,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-11,2020-09-09,1704,0.9500568,0.9001146,0.8001732,0.50016,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-12,2020-09-10,1728,0.9500636,0.9001252,0.8001854,0.500166,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-13,2020-09-11,1752,0.9500704,0.9001348,0.8001966,0.500172,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-14,2020-09-12,1776,0.9500732,0.9001364,0.8002008,0.50018,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-15,2020-09-13,1800,0.950075,0.900138,0.800204,0.500185,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-16,2020-09-14,1824,0.9500818,0.9001506,0.8002172,0.500197,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-17,2020-09-15,1848,0.9500996,0.9001722,0.8002364,0.500209,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-18,2020-09-16,1872,0.9501094,0.9001828,0.8002466,0.500215,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-19,2020-09-17,1896,0.9501092,0.9001814,0.8002448,0.500216,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-20,2020-09-18,1920,0.950108,0.900179,0.80024,0.50021,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-21,2020-09-19,1944,0.9501068,0.9001766,0.8002372,0.500208,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-22,2020-09-20,1968,0.9501056,0.9001752,0.8002484,0.500217,1370,1298,1154,721
c2_aci_gamma_0.000001,fold_1,2020-09-23,2020-09-21,1992,0.9501114,0.9001818,0.8002586,0.500226,1370,1298,1154,721
