candidate,fold,mae,mean_pinball,n_obs,coverage_50,coverage_80,coverage_95,crossings,n_days,window_start,window_end,covered_95
c1_head_spread,fold_1,6.6021031212304715,1.8560612181060085,2160.0,0.36157407407407405,0.6550925925925926,0.8648148148148148,0,90,2020-07-01,2020-09-28,1868
c1_head_spread,fold_2,20.037843343777315,4.5851392742172665,2159.0,0.30430754979157015,0.6433534043538676,0.9458082445576655,0,90,2021-04-01,2021-06-29,2042
c1_head_spread,fold_3,141.00851570123106,35.50129421704562,2112.0,0.28172348484848486,0.4588068181818182,0.6856060606060606,0,88,2022-07-01,2022-09-28,1448
c1_head_spread,fold_4,20.05377581163934,5.057080807911485,2160.0,0.4393518518518518,0.7768518518518519,0.9527777777777777,0,90,2025-05-01,2025-07-29,2058
c1_head_spread,fold_5,23.16558821873429,6.146617035112938,2156.0,0.4930426716141002,0.761595547309833,0.9211502782931354,0,90,2026-01-08,2026-04-07,1986
c1_price_volatility,fold_1,6.624001277341018,1.808680392562321,2160.0,0.42407407407407405,0.6972222222222222,0.8986111111111111,0,90,2020-07-01,2020-09-28,1941
c1_price_volatility,fold_2,20.03896664569375,4.705378623029025,2159.0,0.32607688744789254,0.6345530338119499,0.9124594719777674,0,90,2021-04-01,2021-06-29,1970
c1_price_volatility,fold_3,141.007962544039,35.85621802725599,2112.0,0.296875,0.4706439393939394,0.7173295454545454,0,88,2022-07-01,2022-09-28,1515
c1_price_volatility,fold_4,20.068712258943876,5.083709259848602,2160.0,0.46620370370370373,0.8180555555555555,0.9708333333333333,0,90,2025-05-01,2025-07-29,2097
c1_price_volatility,fold_5,23.161208804905776,5.947388230281989,2156.0,0.5333951762523191,0.8112244897959183,0.9559369202226345,0,90,2026-01-08,2026-04-07,2061
c2_aci_gamma_0.000001,fold_1,6.612876355139795,1.8267968513580375,2160.0,0.3902777777777778,0.6763888888888889,0.8958333333333334,0,90,2020-07-01,2020-09-28,1935
c2_aci_gamma_0.000001,fold_2,20.03914109230744,4.8682749811317105,2159.0,0.23761000463177398,0.5062528948587309,0.8832792959703566,0,90,2021-04-01,2021-06-29,1907
c2_aci_gamma_0.000001,fold_3,140.99285945546478,39.93903978567154,2112.0,0.20880681818181818,0.3527462121212121,0.5582386363636364,0,88,2022-07-01,2022-09-28,1179
c2_aci_gamma_0.000001,fold_4,20.06527158805811,5.092275591775728,2160.0,0.46805555555555556,0.8125,0.9625,0,90,2025-05-01,2025-07-29,2079
c2_aci_gamma_0.000001,fold_5,23.168349101365912,6.080081483342706,2156.0,0.5148423005565863,0.7866419294990723,0.9239332096474954,0,90,2026-01-08,2026-04-07,1992
c2_aci_gamma_0.000005,fold_1,6.613025115160395,1.826333570596778,2160.0,0.3912037037037037,0.6787037037037037,0.8962962962962963,0,90,2020-07-01,2020-09-28,1936
c2_aci_gamma_0.000005,fold_2,20.03914018488047,4.863304310659008,2159.0,0.238073182028717,0.509031959240389,0.8832792959703566,0,90,2021-04-01,2021-06-29,1907
c2_aci_gamma_0.000005,fold_3,140.99293336146408,39.90548993658733,2112.0,0.20880681818181818,0.3541666666666667,0.5591856060606061,0,88,2022-07-01,2022-09-28,1181
c2_aci_gamma_0.000005,fold_4,20.065326023736237,5.092277321627888,2160.0,0.4685185185185185,0.8125,0.9625,0,90,2025-05-01,2025-07-29,2079
c2_aci_gamma_0.000005,fold_5,23.168349346062012,6.079509063891451,2156.0,0.5148423005565863,0.7866419294990723,0.9239332096474954,0,90,2026-01-08,2026-04-07,1992
c2_aci_gamma_0.00001,fold_1,6.613100520629383,1.8250610368707156,2160.0,0.3912037037037037,0.6814814814814815,0.8967592592592593,0,90,2020-07-01,2020-09-28,1937
c2_aci_gamma_0.00001,fold_2,20.039131453478877,4.855656393631979,2159.0,0.238073182028717,0.5108846688281612,0.8842056507642427,0,90,2021-04-01,2021-06-29,1909
c2_aci_gamma_0.00001,fold_3,140.99299885496157,39.825845757374985,2112.0,0.20880681818181818,0.35511363636363635,0.5653409090909091,0,88,2022-07-01,2022-09-28,1194
c2_aci_gamma_0.00001,fold_4,20.065331831729964,5.092242939545287,2160.0,0.4689814814814815,0.812962962962963,0.9625,0,90,2025-05-01,2025-07-29,2079
c2_aci_gamma_0.00001,fold_5,23.168352425499368,6.079962335794281,2156.0,0.5148423005565863,0.7866419294990723,0.9239332096474954,0,90,2026-01-08,2026-04-07,1992
c2_aci_gamma_0.00002,fold_1,6.613451941130909,1.8235972395157376,2160.0,0.3921296296296296,0.6842592592592592,0.8972222222222223,0,90,2020-07-01,2020-09-28,1938
c2_aci_gamma_0.00002,fold_2,20.03912292549571,4.846940513037577,2159.0,0.238073182028717,0.5141269106067624,0.8865215377489578,0,90,2021-04-01,2021-06-29,1914
c2_aci_gamma_0.00002,fold_3,140.99355559461648,39.6315598109563,2112.0,0.21070075757575757,0.35984848484848486,0.5733901515151515,0,88,2022-07-01,2022-09-28,1211
c2_aci_gamma_0.00002,fold_4,20.065445423970978,5.092233097851605,2160.0,0.46944444444444444,0.812962962962963,0.962037037037037,0,90,2025-05-01,2025-07-29,2078
c2_aci_gamma_0.00002,fold_5,23.16838729425198,6.080761176760176,2156.0,0.5134508348794063,0.7857142857142857,0.9243970315398887,0,90,2026-01-08,2026-04-07,1993
v1_reference,fold_1,6.6128886954178006,1.8280287265968118,2160.0,0.3902777777777778,0.6763888888888889,0.8944444444444445,0,90,2020-07-01,2020-09-28,1932
v1_reference,fold_2,20.03914109230744,4.868723904214101,2159.0,0.23714682723483094,0.5062528948587309,0.8832792959703566,0,90,2021-04-01,2021-06-29,1907
v1_reference,fold_3,140.9928521771404,39.97523437353311,2112.0,0.20880681818181818,0.3527462121212121,0.5553977272727273,0,88,2022-07-01,2022-09-28,1173
v1_reference,fold_4,20.06527158805811,5.092275591775728,2160.0,0.46805555555555556,0.8125,0.9625,0,90,2025-05-01,2025-07-29,2079
v1_reference,fold_5,23.168349101365912,6.080453057639732,2156.0,0.5148423005565863,0.7866419294990723,0.9239332096474954,0,90,2026-01-08,2026-04-07,1992
