origin,history_days,required_start,required_end,required_canonical_hours,absent_leading_calendar_days,absent_leading_canonical_hours,archive_reaches_required_start,fold,phase,available_snapshot_rows,inherited_eligible_training_rows
2020-06-02,728,2018-06-05,2020-06-01,17472,210,5041,False,fold_1,optimistic_warmup,12431,11702
2020-06-02,84,2020-03-10,2020-06-01,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-03,728,2018-06-06,2020-06-02,17472,209,5017,False,fold_1,optimistic_warmup,12455,11726
2020-06-03,84,2020-03-11,2020-06-02,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-04,728,2018-06-07,2020-06-03,17472,208,4993,False,fold_1,optimistic_warmup,12479,11750
2020-06-04,84,2020-03-12,2020-06-03,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-05,728,2018-06-08,2020-06-04,17472,207,4969,False,fold_1,optimistic_warmup,12503,11774
2020-06-05,84,2020-03-13,2020-06-04,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-06,728,2018-06-09,2020-06-05,17472,206,4945,False,fold_1,optimistic_warmup,12527,11798
2020-06-06,84,2020-03-14,2020-06-05,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-07,728,2018-06-10,2020-06-06,17472,205,4921,False,fold_1,optimistic_warmup,12551,11822
2020-06-07,84,2020-03-15,2020-06-06,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-08,728,2018-06-11,2020-06-07,17472,204,4897,False,fold_1,optimistic_warmup,12575,11846
2020-06-08,84,2020-03-16,2020-06-07,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-09,728,2018-06-12,2020-06-08,17472,203,4873,False,fold_1,optimistic_warmup,12599,11870
2020-06-09,84,2020-03-17,2020-06-08,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-10,728,2018-06-13,2020-06-09,17472,202,4849,False,fold_1,optimistic_warmup,12623,11894
2020-06-10,84,2020-03-18,2020-06-09,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-11,728,2018-06-14,2020-06-10,17472,201,4825,False,fold_1,optimistic_warmup,12647,11918
2020-06-11,84,2020-03-19,2020-06-10,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-12,728,2018-06-15,2020-06-11,17472,200,4801,False,fold_1,optimistic_warmup,12671,11942
2020-06-12,84,2020-03-20,2020-06-11,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-13,728,2018-06-16,2020-06-12,17472,199,4777,False,fold_1,optimistic_warmup,12695,11966
2020-06-13,84,2020-03-21,2020-06-12,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-14,728,2018-06-17,2020-06-13,17472,198,4753,False,fold_1,optimistic_warmup,12719,11990
2020-06-14,84,2020-03-22,2020-06-13,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-15,728,2018-06-18,2020-06-14,17472,197,4729,False,fold_1,optimistic_warmup,12743,12014
2020-06-15,84,2020-03-23,2020-06-14,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-16,728,2018-06-19,2020-06-15,17472,196,4705,False,fold_1,optimistic_warmup,12767,12038
2020-06-16,84,2020-03-24,2020-06-15,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-17,728,2018-06-20,2020-06-16,17472,195,4681,False,fold_1,optimistic_warmup,12791,12062
2020-06-17,84,2020-03-25,2020-06-16,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-18,728,2018-06-21,2020-06-17,17472,194,4657,False,fold_1,optimistic_warmup,12815,12086
2020-06-18,84,2020-03-26,2020-06-17,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-19,728,2018-06-22,2020-06-18,17472,193,4633,False,fold_1,optimistic_warmup,12839,12110
2020-06-19,84,2020-03-27,2020-06-18,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-20,728,2018-06-23,2020-06-19,17472,192,4609,False,fold_1,optimistic_warmup,12863,12134
2020-06-20,84,2020-03-28,2020-06-19,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-21,728,2018-06-24,2020-06-20,17472,191,4585,False,fold_1,optimistic_warmup,12887,12158
2020-06-21,84,2020-03-29,2020-06-20,2015,0,0,True,fold_1,optimistic_warmup,2015,2012
2020-06-22,728,2018-06-25,2020-06-21,17472,190,4561,False,fold_1,optimistic_warmup,12911,12182
2020-06-22,84,2020-03-30,2020-06-21,2016,0,0,True,fold_1,optimistic_warmup,2016,2013
2020-06-23,728,2018-06-26,2020-06-22,17472,189,4537,False,fold_1,optimistic_warmup,12935,12206
2020-06-23,84,2020-03-31,2020-06-22,2016,0,0,True,fold_1,optimistic_warmup,2016,2014
2020-06-24,728,2018-06-27,2020-06-23,17472,188,4513,False,fold_1,optimistic_warmup,12959,12230
2020-06-24,84,2020-04-01,2020-06-23,2016,0,0,True,fold_1,optimistic_warmup,2016,2015
2020-06-25,728,2018-06-28,2020-06-24,17472,187,4489,False,fold_1,optimistic_warmup,12983,12254
2020-06-25,84,2020-04-02,2020-06-24,2016,0,0,True,fold_1,optimistic_warmup,2016,2015
2020-06-26,728,2018-06-29,2020-06-25,17472,186,4465,False,fold_1,optimistic_warmup,13007,12278
2020-06-26,84,2020-04-03,2020-06-25,2016,0,0,True,fold_1,optimistic_warmup,2016,2015
2020-06-27,728,2018-06-30,2020-06-26,17472,185,4441,False,fold_1,optimistic_warmup,13031,12302
2020-06-27,84,2020-04-04,2020-06-26,2016,0,0,True,fold_1,optimistic_warmup,2016,2015
2020-06-28,728,2018-07-01,2020-06-27,17472,184,4417,False,fold_1,optimistic_warmup,13055,12326
2020-06-28,84,2020-04-05,2020-06-27,2016,0,0,True,fold_1,optimistic_warmup,2016,2015
2020-06-29,728,2018-07-02,2020-06-28,17472,183,4393,False,fold_1,optimistic_warmup,13079,12350
2020-06-29,84,2020-04-06,2020-06-28,2016,0,0,True,fold_1,optimistic_warmup,2016,2016
2020-06-30,728,2018-07-03,2020-06-29,17472,182,4369,False,fold_1,optimistic_warmup,13103,12374
2020-06-30,84,2020-04-07,2020-06-29,2016,0,0,True,fold_1,optimistic_warmup,2016,2016
2020-07-01,728,2018-07-04,2020-06-30,17472,181,4345,False,fold_1,evaluation,13127,12398
2020-07-01,84,2020-04-08,2020-06-30,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-02,728,2018-07-05,2020-07-01,17472,180,4321,False,fold_1,evaluation,13151,12422
2020-07-02,84,2020-04-09,2020-07-01,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-03,728,2018-07-06,2020-07-02,17472,179,4297,False,fold_1,evaluation,13175,12446
2020-07-03,84,2020-04-10,2020-07-02,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-04,728,2018-07-07,2020-07-03,17472,178,4273,False,fold_1,evaluation,13199,12470
2020-07-04,84,2020-04-11,2020-07-03,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-05,728,2018-07-08,2020-07-04,17472,177,4249,False,fold_1,evaluation,13223,12494
2020-07-05,84,2020-04-12,2020-07-04,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-06,728,2018-07-09,2020-07-05,17472,176,4225,False,fold_1,evaluation,13247,12518
2020-07-06,84,2020-04-13,2020-07-05,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-07,728,2018-07-10,2020-07-06,17472,175,4201,False,fold_1,evaluation,13271,12542
2020-07-07,84,2020-04-14,2020-07-06,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-08,728,2018-07-11,2020-07-07,17472,174,4177,False,fold_1,evaluation,13295,12566
2020-07-08,84,2020-04-15,2020-07-07,2016,0,0,True,fold_1,evaluation,2016,2016
2020-07-09,728,2018-07-12,2020-07-08,17472,173,4153,False,fold_1,evaluation,13319,12590
