scope,candidate,baseline,metric,difference,ci_lower,ci_upper,replicates
fold_1,A1,B0,MAE,-1.8132388073545043,-2.8735982858718905,-0.5310152221504232,2000
fold_1,A1,B0,WIS,-1.6051853622512215,-2.4645588894181856,-0.7189504901783418,2000
fold_1,A1,B1,MAE,0.2070113861165881,-0.5059362353745155,1.0705635402289944,2000
fold_1,A1,B1,WIS,0.10122671053804932,-0.35549898868056506,0.5574150154602981,2000
fold_1,A1,B2,MAE,0.6006309983887252,0.21972695538907985,1.2105042315413592,2000
fold_1,A1,B2,WIS,0.15419310265537822,-0.08358214383553911,0.5029787468303327,2000
fold_1,A1,B3,MAE,0.31227039305569715,-0.40399138485004166,1.1733032366372433,2000
fold_1,A1,B3,WIS,0.08931449329794283,-0.31654421002873884,0.5576861467220707,2000
fold_1,A2,B0,MAE,-1.5905038704020313,-3.111594410429198,-0.2764061808566766,2000
fold_1,A2,B0,WIS,-1.5197666754161405,-2.4831699103255844,-0.6319274084439387,2000
fold_1,A2,B1,MAE,0.429746323069061,-0.3402238516205049,1.2536260916338624,2000
fold_1,A2,B1,WIS,0.18664539737313035,-0.24235276193127134,0.5701906025341281,2000
fold_1,A2,B2,MAE,0.8233659353411982,0.14182603026661178,1.6056380096652103,2000
fold_1,A2,B2,WIS,0.23961178949045925,-0.08330100545562169,0.6044701791220287,2000
fold_1,A2,B3,MAE,0.5350053300081701,-0.19719052590931757,1.2866911926257516,2000
fold_1,A2,B3,WIS,0.17473318013302386,-0.1819388053289187,0.5499767743979088,2000
fold_1,A3,B0,MAE,-2.2502050067064827,-3.5082744059902415,-0.9213929814274658,2000
fold_1,A3,B0,WIS,-1.8157144243667944,-2.754749715714504,-0.9027840077261272,2000
fold_1,A3,B1,MAE,-0.22995481323539035,-0.7937267191320789,0.43409717978921053,2000
fold_1,A3,B1,WIS,-0.10930235157752355,-0.4958023078081108,0.2385122994795709,2000
fold_1,A3,B2,MAE,0.1636647990367468,-0.18711221128515937,0.6247815947149817,2000
fold_1,A3,B2,WIS,-0.05633595946019465,-0.2825071218260823,0.22461256461486634,2000
fold_1,A3,B3,MAE,-0.1246958062962813,-0.7059201202613876,0.501666078827761,2000
fold_1,A3,B3,WIS,-0.12121456881763004,-0.4514913297671043,0.22738681478967854,2000
fold_1,A4,B0,MAE,-1.0718269388261046,-2.1999759322662733,0.20477012567687103,2000
fold_1,A4,B0,WIS,-1.0934388279831948,-1.9732502805034073,-0.1758975293707867,2000
fold_1,A4,B1,MAE,0.9484232546449878,0.04660017892942199,1.8873626060975661,2000
fold_1,A4,B1,WIS,0.6129732448060761,0.035651505426010414,1.0995788841022447,2000
fold_1,A4,B2,MAE,1.342042866917125,0.7849759157876401,2.0062117937998294,2000
fold_1,A4,B2,WIS,0.665939636923405,0.3101970125460396,1.0877472472359997,2000
fold_1,A4,B3,MAE,1.0536822615840968,0.12855823809699624,1.9702263081057214,2000
fold_1,A4,B3,WIS,0.6010610275659696,0.03147006369118221,1.1337853205870456,2000
fold_1,A5,B0,MAE,-2.141780825077948,-3.2957346319202374,-0.8321876771536509,2000
fold_1,A5,B0,WIS,-1.7406095166736373,-2.6325177426712547,-0.853258645492289,2000
fold_1,A5,B1,MAE,-0.12153063160685562,-0.6959938893307893,0.5314378616952808,2000
fold_1,A5,B1,WIS,-0.03419744388436641,-0.408101800058052,0.3128688800243799,2000
fold_1,A5,B2,MAE,0.27208898066528153,-0.030535107966247744,0.7049799118096751,2000
fold_1,A5,B2,WIS,0.01876894823296249,-0.17716849552481673,0.28115540510946585,2000
fold_1,A5,B3,MAE,-0.016271624667746565,-0.608588299339077,0.6212315748707388,2000
fold_1,A5,B3,WIS,-0.0461096611244729,-0.3922442538923949,0.318558656643484,2000
fold_2,A1,B0,MAE,-6.216082843122031,-8.930393243511995,-4.089740264168107,2000
fold_2,A1,B0,WIS,-4.6395765353881355,-6.539110996044311,-3.118567192838608,2000
fold_2,A1,B1,MAE,-10.08157703117325,-13.974876943059554,-5.969296530042442,2000
