policy,criterion,metric,scope,actual,lower_limit,upper_limit,passed
A1,1,S_MAE,equal_fold,0.6722908121370033,,0.5920298211373128,False
A1,2,S_WIS,equal_fold,0.646015091607363,,0.5750919366593932,False
A1,3,coverage95,fold_1,0.9356481481481481,0.9,0.98,True
A1,3,coverage95,fold_2,0.9314497452524316,0.9,0.98,True
A1,3,coverage95,fold_3,0.9422348484848485,0.9,0.98,True
A1,3,coverage95,fold_4,0.9444444444444444,0.9,0.98,True
A1,3,coverage95,fold_5,0.9564007421150278,0.9,0.98,True
A1,4,coverage95,peak,0.9264705882352942,0.9,,True
A1,4,MAE,peak,49.876699068332044,,57.617758673520505,True
A1,5,MAE,fold_1,6.819900081534383,,6.530232537302945,False
A1,5,MAE,fold_2,9.953359482231182,,10.160199330508874,True
A1,5,MAE,fold_3,51.212762782292266,,56.7082158826891,True
A1,5,MAE,fold_4,16.740444529025567,,17.367639793808983,True
A1,5,MAE,fold_5,19.48163898479388,,20.162626935989135,True
A1,4,WIS,peak,29.403713016161422,,33.72970535812474,True
A1,5,WIS,fold_1,4.10385611923026,,4.147146167403628,True
A1,5,WIS,fold_2,6.246549290927245,,6.339890674080492,True
A1,5,WIS,fold_3,30.454607295819592,,33.940454346635754,True
A1,5,WIS,fold_4,10.086960537897482,,10.400724362891893,True
A1,5,WIS,fold_5,11.75235481475487,,12.102308138409143,True
A1,6,complete_finite_ordered,all_eligible,1.0,1.0,,True
A2,1,S_MAE,equal_fold,0.7737135303566072,,0.5920298211373128,False
A2,2,S_WIS,equal_fold,0.7316680119708595,,0.5750919366593932,False
A2,3,coverage95,fold_1,0.9425925925925925,0.9,0.98,True
A2,3,coverage95,fold_2,0.936544696618805,0.9,0.98,True
A2,3,coverage95,fold_3,0.9261363636363636,0.9,0.98,True
A2,3,coverage95,fold_4,0.9402777777777778,0.9,0.98,True
A2,3,coverage95,fold_5,0.9355287569573284,0.9,0.98,True
A2,4,coverage95,peak,0.9485294117647058,0.9,,True
A2,4,MAE,peak,61.40122383717715,,57.617758673520505,False
A2,5,MAE,fold_1,7.042635018486858,,6.530232537302945,False
A2,5,MAE,fold_2,10.300250370056196,,10.160199330508874,False
A2,5,MAE,fold_3,66.44563824179751,,56.7082158826891,False
A2,5,MAE,fold_4,19.220087197857442,,17.367639793808983,False
A2,5,MAE,fold_5,24.874233377098832,,20.162626935989135,False
A2,4,WIS,peak,33.419099771652704,,33.72970535812474,True
A2,5,WIS,fold_1,4.189274806065342,,4.147146167403628,False
A2,5,WIS,fold_2,6.756803260361205,,6.339890674080492,False
A2,5,WIS,fold_3,37.897189993933985,,33.940454346635754,False
A2,5,WIS,fold_4,11.407955616069213,,10.400724362891893,False
A2,5,WIS,fold_5,14.114153653438713,,12.102308138409143,False
A2,6,complete_finite_ordered,all_eligible,1.0,1.0,,True
A3,1,S_MAE,equal_fold,0.6725142580647439,,0.5920298211373128,False
A3,2,S_WIS,equal_fold,0.6471900503893376,,0.5750919366593932,False
A3,3,coverage95,fold_1,0.9402777777777778,0.9,0.98,True
A3,3,coverage95,fold_2,0.9383974062065771,0.9,0.98,True
A3,3,coverage95,fold_3,0.9318181818181818,0.9,0.98,True
A3,3,coverage95,fold_4,0.9416666666666667,0.9,0.98,True
A3,3,coverage95,fold_5,0.9499072356215214,0.9,0.98,True
A3,4,coverage95,peak,0.9338235294117647,0.9,,True
A3,4,MAE,peak,52.02244387876617,,57.617758673520505,True
A3,5,MAE,fold_1,6.382933882182404,,6.530232537302945,True
A3,5,MAE,fold_2,9.483962242631044,,10.160199330508874,True
A3,5,MAE,fold_3,54.55452625121228,,56.7082158826891,True
A3,5,MAE,fold_4,16.778750135676855,,17.367639793808983,True
A3,5,MAE,fold_5,20.72184536837457,,20.162626935989135,False
A3,4,WIS,peak,29.53100269437834,,33.72970535812474,True
A3,5,WIS,fold_1,3.893327057114685,,4.147146167403628,True
A3,5,WIS,fold_2,6.117502260395768,,6.339890674080492,True
A3,5,WIS,fold_3,31.904692481077234,,33.940454346635754,True
A3,5,WIS,fold_4,10.12621545844153,,10.400724362891893,True
A3,5,WIS,fold_5,12.18007793929282,,12.102308138409143,False
A3,6,complete_finite_ordered,all_eligible,1.0,1.0,,True
A4,1,S_MAE,equal_fold,0.7646642404268887,,0.5920298211373128,False
A4,2,S_WIS,equal_fold,0.733418681503033,,0.5750919366593932,False
A4,3,coverage95,fold_1,0.9282407407407407,0.9,0.98,True
A4,3,coverage95,fold_2,0.9379342288096341,0.9,0.98,True
A4,3,coverage95,fold_3,0.9266098484848485,0.9,0.98,True
A4,3,coverage95,fold_4,0.9490740740740741,0.9,0.98,True
A4,3,coverage95,fold_5,0.948051948051948,0.9,0.98,True
