policy,fold,delivery_date,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
B0,fold_1,2020-07-01,24,1,2020-07-01,2020-07-01,13.285833333333334,16.706058282351748,7.500211904761905,3.7501059523809523,14.030833333333334,-0.7449999999999973,-13.285833333333334,13.285833333333333,8.887777777777778,0,0,0.125,3,0,21,7.5925,7.592499999999999,7.592500000000001,0.625,15,0,9,19.47,19.47,19.470000000000002,0.9166666666666666,22,0,2,41.64300000000002,41.643000000000015,41.64300000000002
B0,fold_1,2020-07-02,24,1,2020-07-02,2020-07-02,6.328749999999999,7.004860514909154,3.018622619047619,1.5093113095238095,6.52875,-0.19999999999999973,-6.328749999999999,6.328749999999999,2.442708333333334,0,0,0.20833333333333334,5,0,19,7.125,7.125,7.125,0.8333333333333334,20,0,4,16.188999999999997,16.189,16.189,1.0,24,0,0,35.397,35.397,35.397000000000006
B0,fold_1,2020-07-03,24,1,2020-07-03,2020-07-03,6.614999999999999,7.816701670141953,3.7880839285714285,1.894041964285714,6.536666666666666,0.07833333333333314,4.452499999999998,4.452500000000001,5.938958333333335,0,0,0.3333333333333333,8,14,2,7.212500000000003,7.212500000000006,7.212500000000006,0.5416666666666666,13,11,0,18.191999999999997,18.192,18.192,1.0,24,0,0,39.768750000000004,39.76875,39.768750000000004
B0,fold_1,2020-07-04,24,1,2020-07-04,2020-07-04,12.3525,14.811785285148218,8.17360357142857,4.086801785714285,11.4275,0.9249999999999989,12.3525,12.352499999999997,6.760000000000001,0,0,0.125,3,21,0,7.534999999999997,7.534999999999997,7.535,0.2916666666666667,7,17,0,17.795999999999996,17.796,17.796,0.7083333333333334,17,7,0,38.89175,38.89175,38.89175000000001
B0,fold_1,2020-07-05,24,1,2020-07-05,2020-07-05,33.509166666666665,39.60487575202494,27.501473809523812,13.750736904761906,32.44416666666667,1.0649999999999977,33.509166666666665,33.50916666666666,17.472569444444446,0,0,0.0,0,24,0,7.569999999999998,7.569999999999997,7.5699999999999985,0.041666666666666664,1,23,0,18.578999999999997,18.578999999999997,18.578999999999997,0.16666666666666666,4,20,0,39.312000000000005,39.312,39.312000000000005
B0,fold_1,2020-07-06,24,1,2020-07-06,2020-07-06,14.734166666666667,17.902235661130895,10.105000000000002,5.052500000000001,14.0575,0.6766666666666689,14.078333333333335,14.078333333333337,9.102500000000001,0,0,0.16666666666666666,4,19,1,7.614999999999999,7.615000000000002,7.615000000000002,0.375,9,15,0,19.072999999999993,19.072999999999997,19.072999999999997,0.625,15,9,0,40.61175,40.611749999999994,40.61175
B0,fold_1,2020-07-07,24,1,2020-07-07,2020-07-07,17.479583333333334,19.60586338743251,10.636707738095236,5.318353869047618,17.619583333333335,-0.14000000000000057,-17.479583333333334,17.479583333333334,8.39045138888889,0,0,0.0,0,0,24,7.787499999999999,7.7875,7.787500000000001,0.2916666666666667,7,0,17,19.153,19.153,19.153,0.6666666666666666,16,0,8,50.72375000000002,50.72375000000001,50.72375000000002
B0,fold_1,2020-07-08,24,1,2020-07-08,2020-07-08,9.636666666666668,11.048694870134362,5.557502976190477,2.7787514880952386,9.311666666666667,0.3249999999999993,-9.636666666666668,9.636666666666663,5.1006944444444455,0,0,0.2916666666666667,7,0,17,7.6499999999999995,7.649999999999999,7.650000000000005,0.4583333333333333,11,0,13,18.037999999999997,18.037999999999993,18.037999999999997,1.0,24,0,0,44.73175,44.73175,44.731750000000005
B0,fold_1,2020-07-09,24,1,2020-07-09,2020-07-09,2.924166666666666,3.676481560767939,2.037497619047619,1.0187488095238095,2.770416666666666,0.15375000000000036,-1.5245833333333332,1.5245833333333323,2.52048611111111,0,0,0.6666666666666666,16,2,6,8.055,8.055,8.055,0.9583333333333334,23,0,1,19.322999999999997,19.322999999999997,19.323,1.0,24,0,0,49.91600000000003,49.91600000000003,49.91600000000004
B0,fold_1,2020-07-10,24,1,2020-07-10,2020-07-10,6.1674999999999995,7.092272202898025,3.2053357142857144,1.6026678571428572,5.902083333333334,0.2654166666666666,6.119583333333334,6.119583333333338,2.936250000000001,0,0,0.25,6,18,0,8.087499999999999,8.087499999999999,8.087499999999999,1.0,24,0,0,20.763999999999992,20.76399999999999,20.76399999999999,1.0,24,0,0,49.91600000000003,49.916000000000025,49.91600000000004
