fold,policy,phase,first_delivery_day,last_delivery_day,origins,model_records,logical_fit_calls,minimum_training_rows,maximum_training_rows,first_history_start,last_history_start,unique_model_hashes
fold_1,B2,warmup,2020-06-02,2020-06-30,29,696,3480,11702,12374,2019-01-01,2019-01-01,696
fold_1,B2,evaluation,2020-07-01,2020-09-28,90,2160,10800,12398,14534,2019-01-01,2019-01-01,2160
fold_1,B3,warmup,2020-06-02,2020-06-30,29,29,29,11702,12374,2019-01-01,2019-01-01,29
fold_1,B3,evaluation,2020-07-01,2020-09-28,90,90,90,12398,14534,2019-01-01,2019-01-01,90
fold_1,A1,warmup,2020-06-02,2020-06-30,29,696,3480,11702,12374,2019-01-01,2019-01-01,696
fold_1,A1,evaluation,2020-07-01,2020-09-28,90,2160,10800,12398,14534,2019-01-01,2019-01-01,2160
fold_1,A2,warmup,2020-06-02,2020-06-30,29,29,29,11702,12374,2019-01-01,2019-01-01,29
fold_1,A2,evaluation,2020-07-01,2020-09-28,90,90,90,12398,14534,2019-01-01,2019-01-01,90
fold_1,A4,warmup,2020-06-02,2020-06-30,29,696,3480,2012,2016,2020-03-10,2020-04-07,696
fold_1,A4,evaluation,2020-07-01,2020-09-28,90,2160,10800,2016,2016,2020-04-08,2020-07-06,2160
fold_2,B2,warmup,2021-03-01,2021-03-31,31,741,3705,17460,17460,2019-03-04,2019-04-03,741
fold_2,B2,evaluation,2021-04-01,2021-06-29,90,2159,10795,17460,17460,2019-04-04,2019-07-02,2159
fold_2,B3,warmup,2021-03-01,2021-03-31,31,31,31,17460,17460,2019-03-04,2019-04-03,31
fold_2,B3,evaluation,2021-04-01,2021-06-29,90,90,90,17460,17460,2019-04-04,2019-07-02,90
fold_2,A1,warmup,2021-03-01,2021-03-31,31,741,3705,17460,17460,2019-03-04,2019-04-03,741
fold_2,A1,evaluation,2021-04-01,2021-06-29,90,2159,10795,17460,17460,2019-04-04,2019-07-02,2159
fold_2,A2,warmup,2021-03-01,2021-03-31,31,31,31,17460,17460,2019-03-04,2019-04-03,31
fold_2,A2,evaluation,2021-04-01,2021-06-29,90,90,90,17460,17460,2019-04-04,2019-07-02,90
fold_2,A4,warmup,2021-03-01,2021-03-31,31,741,3705,2013,2016,2020-12-07,2021-01-06,741
fold_2,A4,evaluation,2021-04-01,2021-06-29,90,2159,10795,2012,2016,2021-01-07,2021-04-06,2159
fold_3,B2,warmup,2022-06-02,2022-06-30,29,696,3480,17412,17412,2020-06-04,2020-07-02,696
fold_3,B2,evaluation,2022-07-01,2022-09-28,88,2112,10560,17364,17412,2020-07-03,2020-09-30,2112
fold_3,B3,warmup,2022-06-02,2022-06-30,29,29,29,17412,17412,2020-06-04,2020-07-02,29
fold_3,B3,evaluation,2022-07-01,2022-09-28,88,88,88,17364,17412,2020-07-03,2020-09-30,88
fold_3,A1,warmup,2022-06-02,2022-06-30,29,696,3480,17412,17412,2020-06-04,2020-07-02,696
fold_3,A1,evaluation,2022-07-01,2022-09-28,88,2112,10560,17364,17412,2020-07-03,2020-09-30,2112
fold_3,A2,warmup,2022-06-02,2022-06-30,29,29,29,17412,17412,2020-06-04,2020-07-02,29
fold_3,A2,evaluation,2022-07-01,2022-09-28,88,88,88,17364,17412,2020-07-03,2020-09-30,88
fold_3,A4,warmup,2022-06-02,2022-06-30,29,696,3480,1988,2016,2022-03-10,2022-04-07,696
fold_3,A4,evaluation,2022-07-01,2022-09-28,88,2112,10560,1968,2016,2022-04-08,2022-07-06,2112
