policy,fold,window_start,window_end,calendar_days,n_hours,n_days,first_delivery_date,last_delivery_date,MAE,RMSE,WIS,mean_pinball_7,raw_central_MAE,centering_effect,bias,daily_mean_level_MAE,within_day_shape_MAE,missing_count,crossings,coverage50,hit_count50,lower_miss_count50,upper_miss_count50,mean_width50,median_width50,p95_width50,coverage80,hit_count80,lower_miss_count80,upper_miss_count80,mean_width80,median_width80,p95_width80,coverage95,hit_count95,lower_miss_count95,upper_miss_count95,mean_width95,median_width95,p95_width95
B0,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,169.93369047619046,216.25848931176034,116.31441028911563,58.15720514455783,157.63059523809522,12.303095238095242,144.68511904761903,162.90452380952385,57.54587797619048,0,0,0.27976190476190477,47,106,15,114.45857142857142,115.65,117.37499999999994,0.44642857142857145,75,89,4,242.26242857142847,229.8069999999999,327.96199999999993,0.5773809523809523,97,70,1,380.8288571428571,325.38824999999997,505.5095
B1,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,181.40327672726576,206.35428321450146,109.75901960463082,54.8795098023154,181.58847840479407,-0.1852016775283259,-178.7138702135175,178.7138702135175,69.42632160571372,0,0,0.22023809523809523,37,1,130,129.9394949363404,131.3544441931944,158.39576138804503,0.3392857142857143,57,0,111,233.4074658756962,244.89924838323725,280.38092222583253,0.47619047619047616,80,0,88,360.1691857493567,376.1449823250314,424.33538241590196
B2,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,65.4135594637226,89.38173590947618,38.70337753451153,19.351688767255766,60.8270095170672,4.5865499466554,36.16331288190326,56.49012620295348,42.65139973248362,0,0,0.40476190476190477,68,77,23,72.34169222676415,72.03147064526502,74.89241163564151,0.7261904761904762,122,36,10,163.6017430116736,162.41177720885742,168.07668649548313,0.8869047619047619,149,15,4,301.78390715960296,324.6895508124202,324.6895508124203
B3,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,85.10604169591132,115.84494020570745,53.2904844816714,26.6452422408357,81.13994929434817,3.966092401563145,53.51566191316141,75.89099464247826,47.917429209786235,0,0,0.4642857142857143,78,71,19,118.59675629736111,119.51209064553677,124.7974598134457,0.6904761904761905,116,47,5,212.44777958761668,214.22668515288314,228.04744432884024,0.8214285714285714,138,30,0,356.6417504638331,385.1790194640577,399.1493295380926
A1,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,63.88146738331558,89.9044797953563,38.521538966846705,19.260769483423353,62.57528689410329,1.3061804892122884,29.484065035396736,59.155656365502914,40.11917441640057,0,0,0.5476190476190477,92,54,22,102.96788536993083,104.88462366310591,119.61033424491039,0.7976190476190477,134,29,5,208.26717686434066,206.4962339251545,242.14502211268154,0.9464285714285714,159,8,1,405.8964502267444,424.99734368075474,487.9910992713811
A2,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,120.97311214152008,151.04956303936834,66.4536821039952,33.2268410519976,103.78298163278353,17.190130508736576,107.66297650188426,116.32294970685682,46.34303655516122,0,0,0.38095238095238093,64,98,6,156.02658791496648,161.03581837810498,182.27351701669272,0.6428571428571429,108,60,0,270.8302124676001,295.5889594374603,314.65308349029726,0.8928571428571429,150,18,0,441.2318375234154,484.42612022404325,517.918225153229
A3,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,79.60932527666552,109.7975049267679,46.92332075881838,23.46166037940919,69.72822943603516,9.881095840630348,70.76664679667324,70.76664679667326,37.93903469410064,0,0,0.5476190476190477,92,75,1,116.33019167410119,119.37979270990803,133.7181349517354,0.7083333333333334,119,49,0,219.97492524361076,228.28637620166347,251.0435259957174,0.9464285714285714,159,9,0,407.3659416004671,425.42911116909335,488.48686399649483
A4,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,97.60418442081357,126.48588725956604,55.36441037137441,27.682205185687206,85.14615059542065,12.458033825392906,80.39826017447432,82.7407510748889,51.88919421580063,0,0,0.4226190476190476,71,89,8,124.63083167893936,128.2740161343305,144.88382033704625,0.7321428571428571,123,44,1,260.91173392351595,273.48924216170263,311.05786001209606,0.9166666666666666,154,14,0,434.0777110286571,453.69374205431563,520.9409216541828
A5,fold_3,2022-09-01,2022-09-07,7,168,7,2022-09-01,2022-09-07,80.106956916123,109.44243592081888,47.558176490992416,23.77908824549621,70.59517312382695,9.511783792296045,71.66295366771554,71.66295366771556,38.53403584269245,0,0,0.5,84,83,1,115.44171094150049,119.58225764809993,133.91986451635444,0.7380952380952381,124,44,0,223.8084691814504,227.74243625802143,262.09765512616565,0.9345238095238095,157,11,0,414.5568801126591,436.7312280135336,501.4641978669742
B0,fold_3,2022-09-08,2022-09-14,7,168,7,2022-09-08,2022-09-14,80.76630952380954,105.75185125588877,48.455200850340134,24.227600425170067,80.79946428571427,-0.033154761904760174,-11.165297619047628,72.56029761904763,50.81143353174603,0,0,0.48214285714285715,81,40,47,124.2125,127.0,129.03249999999997,0.8452380952380952,142,2,24,332.69685714285714,333.462,336.17999999999995,0.9047619047619048,152,0,16,512.7966428571428,506.6575000000001,522.2805000000001
