fold,policy,direct_logical_fit_calls,direct_solver_calls,numerical_continuation_calls,direct_fit_seconds,component_policies,component_logical_fit_calls,component_fit_seconds,shared_fold_wall_seconds,shared_full_command_wall_seconds,shared_process_peak_rss_bytes,origin_count,cache_hit_origins,memory_scope,runtime_scope
fold_1,B0,0,0,0,0.0,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,B1,0,0,0,0.0,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,B2,14280,14280,0,637.6711856210168,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,B3,119,119,0,411.2387643348484,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,A1,14280,14280,0,759.292755856528,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,A2,119,119,0,403.006213752029,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,A3,0,0,0,0.0,A1+A2,14399,1162.298969608557,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,A4,14280,14358,78,178.50000244910188,none,0,0.0,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_1,A5,0,0,0,0.0,A1+A2+A4,28679,1340.7989720576588,2384.144799417001,2404.92,653475840,119,1,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,B0,0,0,0,0.0,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
