model,fold,n_eval,mae_raw_p50,mae_final_p50,pinball_raw,pinball_post_cqr,pinball_final,crossings_raw,crossings_post_cqr,crossings_final,coverage_raw_50,coverage_raw_80,coverage_raw_95,coverage_post_cqr_50,coverage_post_cqr_80,coverage_post_cqr_95,coverage_final_50,coverage_final_80,coverage_final_95
base,fold_1,2160.0,6.644541232166757,6.6128886954178006,2.0705486470152095,1.83458758023621,1.8280287265968118,2897.0,1150.0,0.0,0.22407407407407406,0.47638888888888886,0.7106481481481481,0.38981481481481484,0.6773148148148148,0.8935185185185185,0.3902777777777778,0.6763888888888889,0.8944444444444445
base,fold_2,2159.0,20.03906532944399,20.03914109230744,5.929467167913441,4.870391809637648,4.868723904214101,1641.0,456.0,0.0,0.10282538212135248,0.23436776285317276,0.6229735988883742,0.23714682723483094,0.5053265400648448,0.8832792959703566,0.23714682723483094,0.5062528948587309,0.8832792959703566
base,fold_3,2112.0,141.007962544039,140.9928521771404,45.85218792826239,40.0259078391714,39.97523437353311,2076.0,1291.0,0.0,0.13020833333333334,0.23200757575757575,0.3645833333333333,0.20880681818181818,0.3536931818181818,0.5388257575757576,0.20880681818181818,0.3527462121212121,0.5553977272727273
base,fold_4,2160.0,20.10430225358185,20.06527158805811,5.379494777794156,5.097169386265502,5.092275591775728,1665.0,437.0,0.0,0.3486111111111111,0.6287037037037037,0.8398148148148148,0.4671296296296296,0.8111111111111111,0.9625,0.46805555555555556,0.8125,0.9625
base,fold_5,2156.0,23.164312380640144,23.168349101365912,6.561973277720856,6.085041953889265,6.080453057639732,1879.0,1078.0,0.0,0.3209647495361781,0.5853432282003711,0.8079777365491652,0.5148423005565863,0.7866419294990723,0.923469387755102,0.5148423005565863,0.7866419294990723,0.9239332096474954
base_plus_residual_load_proxy,fold_1,2160.0,6.902400757099745,6.859744366777969,2.0987762098888036,1.9058024481747613,1.8998696979532825,2600.0,1103.0,0.0,0.2175925925925926,0.5111111111111111,0.7287037037037037,0.3375,0.6277777777777778,0.8837962962962963,0.3375,0.6268518518518519,0.8842592592592593
base_plus_residual_load_proxy,fold_2,2159.0,19.16517006189086,19.16512806940534,6.302890584930117,5.072953098043046,5.07159801003825,2368.0,351.0,0.0,0.06206577119036591,0.1621120889300602,0.5701713756368689,0.16998610467809172,0.4020379805465493,0.8749421028253821,0.16998610467809172,0.4011116257526633,0.8749421028253821
base_plus_residual_load_proxy,fold_3,2112.0,136.56000456751485,136.5508421681111,45.702065108165954,40.412992741114834,40.39045676967502,1862.0,988.0,0.0,0.14015151515151514,0.25757575757575757,0.3565340909090909,0.23579545454545456,0.36079545454545453,0.515625,0.23484848484848486,0.359375,0.525094696969697
base_plus_residual_load_proxy,fold_4,2160.0,22.13204951880494,21.0313912219747,5.441292764506049,5.121284510111027,5.069370497371877,2032.0,864.0,0.0,0.27685185185185185,0.5768518518518518,0.8064814814814815,0.3685185185185185,0.8305555555555556,0.9782407407407407,0.38287037037037036,0.8300925925925926,0.9791666666666666
base_plus_residual_load_proxy,fold_5,2156.0,23.18228437623157,23.160240921626524,6.485936191461642,5.9574435234549865,5.9523736889773255,1701.0,593.0,0.0,0.3042671614100185,0.5171614100185529,0.8158627087198516,0.4619666048237477,0.7481447124304267,0.9290352504638218,0.46335807050092764,0.7481447124304267,0.9304267161410018
similar_day_naive,fold_1,2160.0,,8.590592592592593,,,4.295296296296296,,,,,,,,,,,,
similar_day_naive,fold_2,2159.0,,16.242139879573877,,,8.121069939786938,,,,,,,,,,,,
similar_day_naive,fold_3,2112.0,,85.65789299242422,,,42.82894649621212,,,,,,,,,,,,
similar_day_naive,fold_4,2160.0,,22.84526851851852,,,11.42263425925926,,,,,,,,,,,,
similar_day_naive,fold_5,2156.0,,30.09608070500928,,,15.048040352504637,,,,,,,,,,,,
seasonal_naive_168h,fold_1,2160.0,,9.138912037037036,,,4.569456018518518,,,,,,,,,,,,
seasonal_naive_168h,fold_2,2159.0,,17.928679944418715,,,8.964339972209356,,,,,,,,,,,,
seasonal_naive_168h,fold_3,2112.0,,103.96976799242422,,,51.98488399621212,,,,,,,,,,,,
seasonal_naive_168h,fold_4,2160.0,,25.134435185185186,,,12.567217592592593,,,,,,,,,,,,
seasonal_naive_168h,fold_5,2156.0,,33.42612012987013,,,16.713060064935068,,,,,,,,,,,,
ridge,fold_1,2160.0,,6.7614359662888495,,,3.380717983144425,,,,,,,,,,,,
ridge,fold_2,2159.0,,10.830360675623162,,,5.415180337811581,,,,,,,,,,,,
ridge,fold_3,2112.0,,76.15128978716554,,,38.07564489358277,,,,,,,,,,,,
ridge,fold_4,2160.0,,23.31881609275218,,,11.65940804637609,,,,,,,,,,,,
ridge,fold_5,2156.0,,24.53405072124805,,,12.267025360624023,,,,,,,,,,,,
