feature,importance_mean_mae_increase,importance_std,rank
price_lag_24h,8.260802538981292,0.30247307929369166,1
price_lag_48h,1.802510035141463,0.14628203865002448,2
day_of_week,1.443593197772815,0.15776352757618647,3
local_hour,1.1285028713503344,0.09176676071425387,4
price_lag_168h,1.0966840658952974,0.08430715494917224,5
load_forecast_day_mean_mw,0.4105148675733332,0.07627746551533812,6
load_forecast_mw,0.3855651672396828,0.07415806585874446,7
day_type,0.33649415897484614,0.06551227273566475,8
price_roll_std_720h,0.1886270625418504,0.04192072992783573,9
price_roll_q50_168h,0.15114704944396032,0.05026603320434395,10
price_roll_mean_168h,0.14554092491681203,0.032994986252860084,11
month,0.10812441614047756,0.04094464677691586,12
price_roll_q05_168h,0.09863262212326021,0.037511514736052264,13
negative_price_count_168h,0.03987257432791047,0.023224228151202283,14
price_roll_std_168h,0.03523073064865869,0.09226223966047215,15
is_federal_holiday,0.014656669178516778,0.011253589689187092,16
crisis_period,0.0,0.0,17
post_crisis,0.0,0.0,18
is_bridge_day,0.0,0.0,19
summer_peak,0.0,0.0,20
dst_transition_day,-0.002781834847921516,0.000920139996549498,21
is_day_after_holiday,-0.013977677055391524,0.02129246454306731,22
winter_peak,-0.04469387788215542,0.023228067039460572,23
price_roll_q95_168h,-0.0905794966806667,0.0428795687870989,24
price_roll_mean_720h,-0.09551976826573601,0.03674041148543146,25
