stratum,n_obs,n_days,mae,mean_pinball,coverage_50,coverage_80,coverage_95,read,mae_ci95_low,mae_ci95_high,pinball_ci95_low,pinball_ci95_high
all validation folds,10747,448,41.743481556831235,11.44473658007408,0.36447380664371454,0.6280822555131664,0.8451660928631246,quantitative,,,,
Dunkelflaute days (A69 stratum),648,27,38.63067566038576,10.489824386927358,0.25771604938271603,0.49382716049382713,0.7716049382716049,qualitative (thin subset),19.902467254572812,61.37871816414696,5.035640371817765,17.114989326817135
non-flag days,10099,421,41.94321402746165,11.506008300161124,0.3713238934547975,0.6366967026438262,0.8498861273393405,quantitative,,,,
pre-crisis (< 2021-09-01),4319,180,13.324460569667565,3.3480243016085574,0.3137300300995601,0.5913405880990971,0.8888631627691596,quantitative,,,,
crisis (2021-09-01 .. 2022-12-31),2112,88,140.9928521771404,39.97523437353311,0.20880681818181818,0.3527462121212121,0.5553977272727273,qualitative (thin subset),123.10192189737595,160.35247258127796,33.62419169594399,46.77948134090124
post-crisis (>= 2023-01-01),4316,180,21.615372403324933,5.585906411146161,0.49142724745134386,0.7995829471733086,0.9432344763670065,quantitative,,,,
negative-price hours,465,85,39.03261154910987,11.208043250847437,0.2021505376344086,0.432258064516129,0.7096774193548387,qualitative (thin subset),33.01702504612175,44.88987296822982,9.008050597846939,13.440768563209364
weekday,7630,318,43.373512390524475,11.87590273020221,0.3541284403669725,0.6070773263433814,0.8330275229357799,quantitative,,,,
weekend,3117,130,37.753383622574106,10.389299388711343,0.3897978825794033,0.6794995187680462,0.8748796920115496,quantitative,,,,
August-2022 peak weeks,408,17,275.25954291591773,87.94863317157804,0.0196078431372549,0.0661764705882353,0.19362745098039216,qualitative (thin subset),236.7974823998587,316.73649476759823,71.0443877683745,106.02703610652276
"Dec-2024 Dunkelflaute week (backtest, fold-3 model, raw heads, 2.5y stale)",168,7,75.23943584532756,25.79095260438371,0.27380952380952384,0.5178571428571429,0.6666666666666666,"qualitative (backtest outside every eval block; raw heads, uncalibrated)",43.50047494913932,109.96489107506169,10.342973970666847,45.66812798756002
