feature,mean_abs_shap,rank
price_lag_24h,15.401310383360386,1
price_lag_168h,5.412601170582895,2
price_roll_q50_168h,5.1258021429891265,3
day_of_week,4.510413707759048,4
price_lag_48h,4.206478858888543,5
load_forecast_mw,3.2302870958504752,6
day_type,3.1644473239108297,7
local_hour,3.064186071616306,8
price_roll_mean_720h,2.9835918587747425,9
price_roll_q95_168h,2.71908082228481,10
load_forecast_day_mean_mw,2.425610124350311,11
price_roll_std_168h,2.424060127448994,12
crisis_period,2.061025031877415,13
price_roll_mean_168h,1.6161201788497441,14
price_roll_std_720h,1.3199489352998623,15
month,0.7828403434194707,16
price_roll_q05_168h,0.6765466788443987,17
negative_price_count_168h,0.5611862645887924,18
winter_peak,0.38652169818587206,19
summer_peak,0.3157889458792311,20
post_crisis,0.31232592973080003,21
is_day_after_holiday,0.1216533041607302,22
is_federal_holiday,0.06143525585875613,23
dst_transition_day,0.002883662176261716,24
is_bridge_day,0.0022572680306801674,25
