feature,mean_abs_shap,rank
price_lag_24h,14.638026612371469,1
price_lag_168h,5.657623951395043,2
price_roll_q50_168h,4.448508921689905,3
price_lag_48h,4.439940498351033,4
day_of_week,4.396023958232133,5
price_roll_q95_168h,4.386255175377148,6
load_forecast_mw,3.418967676456138,7
local_hour,3.395383482828897,8
price_roll_mean_720h,3.281260605520439,9
day_type,2.982999170265987,10
load_forecast_day_mean_mw,2.7546634808603194,11
price_roll_std_168h,2.1505341266859705,12
price_roll_std_720h,1.4301534286336137,13
crisis_period,1.409930523602394,14
price_roll_mean_168h,1.1630536795684616,15
price_roll_q05_168h,1.013292697395283,16
month,0.8201927084002404,17
negative_price_count_168h,0.760628780064965,18
winter_peak,0.36173173825526883,19
post_crisis,0.26301948991081797,20
summer_peak,0.2609250593821748,21
is_federal_holiday,0.10891348848053857,22
is_day_after_holiday,0.08868319574289718,23
is_bridge_day,0.008389508361263986,24
dst_transition_day,0.006505214506773524,25
