scope,candidate,baseline,metric,difference,ci_lower,ci_upper,status,undefined_replicates,replicates,estimand,confidence,evidence_class
fold_1,V2-H,V2-P,MAE,-0.031164132395294253,-0.07156046023579699,0.002483820613626697,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_1,V2-H,V2-P,WIS,-0.08567273804584019,-0.12058624611324908,-0.0607780233396296,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_1,V2-H,B2,MAE,0.09153302710034872,-0.09920932427168241,0.3985400828383496,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_1,V2-H,B2,WIS,-0.09372726394950481,-0.24825530988568267,0.11914923091903416,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_1,V2-P,B2,MAE,0.12269715949564297,-0.07388298493585983,0.4429094600793367,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_1,V2-P,B2,WIS,-0.008054525903664622,-0.15722874699153294,0.2164030063108635,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-H,V2-P,MAE,0.01376403436358764,-0.042283003740925904,0.08007221060859647,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-H,V2-P,WIS,-0.08594666628571623,-0.12226982462670458,-0.05574385732214447,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-H,B2,MAE,-0.2190719795461309,-0.4911303722158212,0.015447599798424923,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-H,B2,WIS,-0.05626213674451197,-0.2977621501094547,0.21058515173929626,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-P,B2,MAE,-0.23283601390971853,-0.5081404122637193,0.0032708347212101973,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_2,V2-P,B2,WIS,0.029684529541204263,-0.2097448298013773,0.29562175027770526,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-H,V2-P,MAE,0.15968874963191837,-0.05192429388424404,0.35152455974248825,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-H,V2-P,WIS,-0.3526052244039768,-0.5374368919266134,-0.1959498233747048,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-H,B2,MAE,-2.794201728394654,-4.472988311804304,-1.1662295455498042,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-H,B2,WIS,-2.102975889601421,-3.401903258098376,-0.9653821627477508,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-P,B2,MAE,-2.9538904780265725,-4.599512169743029,-1.3184439123059182,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_3,V2-P,B2,WIS,-1.750370665197444,-2.958316738287109,-0.6615697206436252,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-H,V2-P,MAE,-0.0953788035776526,-0.1740081922036265,-0.019079818014570617,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-H,V2-P,WIS,-0.22643825316291455,-0.30680613104667775,-0.1431849231663328,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-H,B2,MAE,-0.41635813017572687,-0.6992755484951256,-0.06399554288600613,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-H,B2,WIS,-0.3586576190633952,-0.5484093006294555,-0.10733369419271244,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-P,B2,MAE,-0.32097932659807427,-0.576600186428198,0.013848984427117843,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_4,V2-P,B2,WIS,-0.13221936590048067,-0.3207641870326526,0.10922066364264942,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-H,V2-P,MAE,-0.10238637231059755,-0.24922656127688442,0.041507378967562736,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-H,V2-P,WIS,-0.3249342552656209,-0.40162229204848404,-0.2293499495947198,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-H,B2,MAE,-0.46975118555884166,-1.027259503621933,-0.05440583021696473,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-H,B2,WIS,-0.49851186144039694,-0.7919338109707333,-0.20602529780774254,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-P,B2,MAE,-0.3673648132482441,-0.8836814949652243,0.003456114302287515,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
fold_5,V2-P,B2,WIS,-0.17357760617477602,-0.46558577061331025,0.10315181635377672,resolved,0,2000,paired mean daily loss difference,0.95,descriptive_paired_daily
equal_fold,V2-H,V2-P,MAE,-0.0016954464559965077,-0.003623724975937509,3.857628092332211e-06,resolved,0,2000,equal-fold B0-normalized eligible-hour mean difference,0.95,exploratory_post_selection
equal_fold,V2-H,V2-P,WIS,-0.012691783229441422,-0.015571242603026905,-0.010911902067713655,resolved,0,2000,equal-fold B0-normalized eligible-hour mean difference,0.95,exploratory_post_selection
equal_fold,V2-H,B2,MAE,-0.013738773746104216,-0.02357190366002046,-0.005344156036269626,resolved,0,2000,equal-fold B0-normalized eligible-hour mean difference,0.95,exploratory_post_selection
