arm,fold,phase,origins,hour_cells,fallback_cells,min_weight,max_weight
H0,fold_1,evaluation,90,2160,0,0.3333333333333333,0.3333333333333333
H0,fold_1,training_only,7,168,0,0.3333333333333333,0.3333333333333333
H0,fold_2,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
H0,fold_2,training_only,7,168,0,0.3253012048192771,0.3333333333333333
H0,fold_3,evaluation,88,2112,0,0.3333333333333333,0.3333333333333333
H0,fold_3,training_only,7,168,0,0.3333333333333333,0.3333333333333333
H0,fold_4,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
H0,fold_4,training_only,7,168,0,0.3253012048192771,0.3333333333333333
H0,fold_5,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
H0,fold_5,training_only,7,168,0,0.3333333333333333,0.3333333333333333
HG,fold_1,evaluation,90,2160,0,0.3333333333333333,0.3333333333333333
HG,fold_1,training_only,7,168,0,0.3333333333333333,0.3333333333333333
HG,fold_2,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
HG,fold_2,training_only,7,168,0,0.3253012048192771,0.3333333333333333
HG,fold_3,evaluation,88,2112,0,0.3333333333333333,0.3333333333333333
HG,fold_3,training_only,7,168,0,0.3333333333333333,0.3333333333333333
HG,fold_4,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
HG,fold_4,training_only,7,168,0,0.3253012048192771,0.3333333333333333
HG,fold_5,evaluation,90,2160,0,0.3253012048192771,0.3333333333333333
HG,fold_5,training_only,7,168,0,0.3333333333333333,0.3333333333333333
