run_00z,lead,field,prerun_attempts,attempts_so_far,run_status,retained_raw_review_sample,owner_o1_extra_allowance,production_attempts_remaining,review_attempt_reserved
2019-01-01,21,dswrf,2,2,complete,True,2,0,True
2019-01-01,21,u10,2,2,complete,True,2,0,True
2019-01-01,21,u100,2,2,complete,True,2,0,True
2019-01-01,21,v10,2,2,complete,True,2,0,True
2019-01-01,21,v100,2,2,complete,True,2,0,True
2019-01-01,24,dswrf,1,1,complete,True,1,0,True
2019-01-01,24,u10,1,1,complete,True,1,0,True
2019-01-01,24,u100,1,1,complete,True,1,0,True
2019-01-01,24,v10,1,1,complete,True,1,0,True
2019-01-01,24,v100,1,1,complete,True,1,0,True
2019-01-01,27,dswrf,1,1,complete,True,1,0,True
2019-01-01,27,u10,1,1,complete,True,1,0,True
2019-01-01,27,u100,1,1,complete,True,1,0,True
2019-01-01,27,v10,1,1,complete,True,1,0,True
2019-01-01,27,v100,1,1,complete,True,1,0,True
2019-01-01,30,dswrf,1,1,complete,True,1,0,True
2019-01-01,30,u10,1,1,complete,True,1,0,True
2019-01-01,30,u100,1,1,complete,True,1,0,True
2019-01-01,30,v10,1,1,complete,True,1,0,True
2019-01-01,30,v100,1,1,complete,True,1,0,True
2019-01-01,33,dswrf,1,1,complete,True,1,0,True
2019-01-01,33,u10,1,1,complete,True,1,0,True
2019-01-01,33,u100,1,1,complete,True,1,0,True
2019-01-01,33,v10,1,1,complete,True,1,0,True
2019-01-01,33,v100,1,1,complete,True,1,0,True
2019-01-01,36,dswrf,1,1,complete,True,1,0,True
2019-01-01,36,u10,1,1,complete,True,1,0,True
2019-01-01,36,u100,1,1,complete,True,1,0,True
2019-01-01,36,v10,1,1,complete,True,1,0,True
2019-01-01,36,v100,1,1,complete,True,1,0,True
2019-01-01,39,dswrf,1,1,complete,True,1,0,True
2019-01-01,39,u10,1,1,complete,True,1,0,True
2019-01-01,39,u100,1,1,complete,True,1,0,True
2019-01-01,39,v10,1,1,complete,True,1,0,True
2019-01-01,39,v100,1,1,complete,True,1,0,True
2019-01-01,42,dswrf,1,1,complete,True,1,0,True
2019-01-01,42,u10,1,1,complete,True,1,0,True
2019-01-01,42,u100,1,1,complete,True,1,0,True
2019-01-01,42,v10,1,1,complete,True,1,0,True
2019-01-01,42,v100,1,1,complete,True,1,0,True
2019-01-01,45,dswrf,1,1,complete,True,1,0,True
2019-01-01,45,u10,1,1,complete,True,1,0,True
2019-01-01,45,u100,1,1,complete,True,1,0,True
2019-01-01,45,v10,1,1,complete,True,1,0,True
2019-01-01,45,v100,1,1,complete,True,1,0,True
2019-01-01,48,dswrf,1,1,complete,True,1,0,True
2019-01-01,48,u10,1,1,complete,True,1,0,True
2019-01-01,48,u100,1,1,complete,True,1,0,True
2019-01-01,48,v10,1,1,complete,True,1,0,True
2019-01-01,48,v100,1,1,complete,True,1,0,True
2019-03-30,21,dswrf,2,2,complete,True,2,0,True
2019-03-30,21,u10,2,2,complete,True,2,0,True
2019-03-30,21,u100,2,2,complete,True,2,0,True
2019-03-30,21,v10,2,2,complete,True,2,0,True
2019-03-30,21,v100,2,2,complete,True,2,0,True
2019-03-30,24,dswrf,1,1,complete,True,1,0,True
2019-03-30,24,u10,1,1,complete,True,1,0,True
2019-03-30,24,u100,1,1,complete,True,1,0,True
2019-03-30,24,v10,1,1,complete,True,1,0,True
2019-03-30,24,v100,1,1,complete,True,1,0,True
2019-03-30,27,dswrf,1,1,complete,True,1,0,True
2019-03-30,27,u10,1,1,complete,True,1,0,True
2019-03-30,27,u100,1,1,complete,True,1,0,True
2019-03-30,27,v10,1,1,complete,True,1,0,True
2019-03-30,27,v100,1,1,complete,True,1,0,True
2019-03-30,30,dswrf,1,1,complete,True,1,0,True
2019-03-30,30,u10,1,1,complete,True,1,0,True
2019-03-30,30,u100,1,1,complete,True,1,0,True
2019-03-30,30,v10,1,1,complete,True,1,0,True
2019-03-30,30,v100,1,1,complete,True,1,0,True
2019-03-30,33,dswrf,1,1,complete,True,1,0,True
2019-03-30,33,u10,1,1,complete,True,1,0,True
2019-03-30,33,u100,1,1,complete,True,1,0,True
2019-03-30,33,v10,1,1,complete,True,1,0,True
2019-03-30,33,v100,1,1,complete,True,1,0,True
2019-03-30,36,dswrf,1,1,complete,True,1,0,True
2019-03-30,36,u10,1,1,complete,True,1,0,True
2019-03-30,36,u100,1,1,complete,True,1,0,True
2019-03-30,36,v10,1,1,complete,True,1,0,True
2019-03-30,36,v100,1,1,complete,True,1,0,True
2019-03-30,39,dswrf,1,1,complete,True,1,0,True
2019-03-30,39,u10,1,1,complete,True,1,0,True
2019-03-30,39,u100,1,1,complete,True,1,0,True
2019-03-30,39,v10,1,1,complete,True,1,0,True
2019-03-30,39,v100,1,1,complete,True,1,0,True
2019-03-30,42,dswrf,1,1,complete,True,1,0,True
2019-03-30,42,u10,1,1,complete,True,1,0,True
2019-03-30,42,u100,1,1,complete,True,1,0,True
2019-03-30,42,v10,1,1,complete,True,1,0,True
2019-03-30,42,v100,1,1,complete,True,1,0,True
2019-03-30,45,dswrf,1,1,complete,True,1,0,True
2019-03-30,45,u10,1,1,complete,True,1,0,True
2019-03-30,45,u100,1,1,complete,True,1,0,True
2019-03-30,45,v10,1,1,complete,True,1,0,True
2019-03-30,45,v100,1,1,complete,True,1,0,True
2019-03-30,48,dswrf,1,1,complete,True,1,0,True
2019-03-30,48,u10,1,1,complete,True,1,0,True
2019-03-30,48,u100,1,1,complete,True,1,0,True
2019-03-30,48,v10,1,1,complete,True,1,0,True
2019-03-30,48,v100,1,1,complete,True,1,0,True
2019-06-13,21,dswrf,2,2,complete,True,2,0,True
2019-06-13,21,u10,2,2,complete,True,2,0,True
2019-06-13,21,u100,2,2,complete,True,2,0,True
2019-06-13,21,v10,2,2,complete,True,2,0,True
2019-06-13,21,v100,2,2,complete,True,2,0,True
2019-06-13,24,dswrf,1,1,complete,True,1,0,True
2019-06-13,24,u10,1,1,complete,True,1,0,True
2019-06-13,24,u100,1,1,complete,True,1,0,True
2019-06-13,24,v10,1,1,complete,True,1,0,True
2019-06-13,24,v100,1,1,complete,True,1,0,True
2019-06-13,27,dswrf,1,1,complete,True,1,0,True
2019-06-13,27,u10,1,1,complete,True,1,0,True
2019-06-13,27,u100,1,1,complete,True,1,0,True
2019-06-13,27,v10,1,1,complete,True,1,0,True
2019-06-13,27,v100,1,1,complete,True,1,0,True
2019-06-13,30,dswrf,1,1,complete,True,1,0,True
2019-06-13,30,u10,1,1,complete,True,1,0,True
2019-06-13,30,u100,1,1,complete,True,1,0,True
2019-06-13,30,v10,1,1,complete,True,1,0,True
2019-06-13,30,v100,1,1,complete,True,1,0,True
2019-06-13,33,dswrf,1,1,complete,True,1,0,True
2019-06-13,33,u10,1,1,complete,True,1,0,True
2019-06-13,33,u100,1,1,complete,True,1,0,True
2019-06-13,33,v10,1,1,complete,True,1,0,True
2019-06-13,33,v100,1,1,complete,True,1,0,True
2019-06-13,36,dswrf,1,1,complete,True,1,0,True
2019-06-13,36,u10,1,1,complete,True,1,0,True
2019-06-13,36,u100,1,1,complete,True,1,0,True
2019-06-13,36,v10,1,1,complete,True,1,0,True
2019-06-13,36,v100,1,1,complete,True,1,0,True
2019-06-13,39,dswrf,1,1,complete,True,1,0,True
2019-06-13,39,u10,1,1,complete,True,1,0,True
2019-06-13,39,u100,1,1,complete,True,1,0,True
2019-06-13,39,v10,1,1,complete,True,1,0,True
2019-06-13,39,v100,1,1,complete,True,1,0,True
2019-06-13,42,dswrf,1,1,complete,True,1,0,True
2019-06-13,42,u10,1,1,complete,True,1,0,True
2019-06-13,42,u100,1,1,complete,True,1,0,True
2019-06-13,42,v10,1,1,complete,True,1,0,True
2019-06-13,42,v100,1,1,complete,True,1,0,True
2019-06-13,45,dswrf,1,1,complete,True,1,0,True
2019-06-13,45,u10,1,1,complete,True,1,0,True
2019-06-13,45,u100,1,1,complete,True,1,0,True
2019-06-13,45,v10,1,1,complete,True,1,0,True
2019-06-13,45,v100,1,1,complete,True,1,0,True
2019-06-13,48,dswrf,1,1,complete,True,1,0,True
2019-06-13,48,u10,1,1,complete,True,1,0,True
2019-06-13,48,u100,1,1,complete,True,1,0,True
2019-06-13,48,v10,1,1,complete,True,1,0,True
2019-06-13,48,v100,1,1,complete,True,1,0,True
2019-10-26,21,dswrf,2,2,complete,True,2,0,True
2019-10-26,21,u10,2,2,complete,True,2,0,True
2019-10-26,21,u100,2,2,complete,True,2,0,True
2019-10-26,21,v10,2,2,complete,True,2,0,True
2019-10-26,21,v100,2,2,complete,True,2,0,True
2019-10-26,24,dswrf,1,1,complete,True,1,0,True
2019-10-26,24,u10,1,1,complete,True,1,0,True
2019-10-26,24,u100,1,1,complete,True,1,0,True
2019-10-26,24,v10,1,1,complete,True,1,0,True
2019-10-26,24,v100,1,1,complete,True,1,0,True
