run_00z,delivery_day,version,status,primary_endpoint,endpoints_used,messages,failed_attempts,nonfinite_box_values,elapsed_s,npz_sha256,record_sha256,raw_retained
2019-01-01,2019-01-02,v14,complete,ncar,"{""ncar"": 50}",50,0,0,185.41,2bde068709ce1f9cf74452b100b40c33f0054667d676eb800f77d954fd2a94db,0dc0465d0adff3c979334baf28b65a94abf1de116e6f954e7424a3fb6ee60a5f,True
2019-01-02,2019-01-03,v14,complete,ncar,"{""ncar"": 50}",50,0,0,214.03,f22cf884b6acfc8bc83d2e51a63a84f926dde7d5b14381ee26b8bfc910010ace,6f1e7a54e00815c481502060243570e66271ffc1dafa858c26d111d973a4528a,False
2019-01-03,2019-01-04,v14,complete,ncar,"{""ncar"": 50}",50,0,0,166.91,a0c718fcd5d10a1f46043e26f706e6c1b30df0b477554365a3f68b97f8b27841,7fb24feaa75b62d38ea2ac4d2c292c78a6836e66bcd4a925670b9b3adefab314,False
2019-01-04,2019-01-05,v14,complete,ncar,"{""ncar"": 50}",50,0,0,149.09,d7099c985d909313123c6bd7478c76da12da411923dd942700e1edd7aa2971e7,ac6b80ff21b35a0aac12d8e71a58cef99f804bdfe43f32a1011f0918840bee2f,False
2019-01-05,2019-01-06,v14,complete,ncar,"{""ncar"": 50}",50,0,0,163.26,20ee7fe9e0eb1a56adfa80548517eabd1426743cd999e63b094cb6bfee65131e,4d4ea704bf47eeecdf3026419a1498cb3f3f0e0b45995aa20487082c280958a3,False
2019-01-06,2019-01-07,v14,complete,ncar,"{""ncar"": 50}",50,0,0,122.24,5325ab523f6e440f4fc18ea9d2b2cf7b1d130fbcb292060c3c2dab2b24cecd5f,f82a597fe11f3b5859286670b5deb4abbbe39d988de9ba5cfdd9468d4171531d,False
2019-01-07,2019-01-08,v14,complete,ncar,"{""ncar"": 50}",50,0,0,108.22,699067fc8d227a102bbb674e621edc946d5c9c2b963439b63295ef9ed743e807,399a48f439c0df9648de89ba9bdd8f81209e138c017a7b9a4933736c2efa27c6,False
2019-01-08,2019-01-09,v14,complete,ncar,"{""ncar"": 50}",50,0,0,130.02,dde3c4f80c0837f98ad73327be2f64c59696c1397dda273f4630b54de356878c,ab6afed8a615ee932500dc2572855628e9f45999e5905a53acfae0e24c9d5642,False
2019-01-09,2019-01-10,v14,complete,ncar,"{""ncar"": 50}",50,0,0,113.51,bb6a15d699bfe5db11bcd66404386410d6cf4ddffecfb2eb64ca82d0feef7645,14bca6291d2cedd71db039ffd18f69c9a2c98ecf7c6b9fdf5d7ddb150a024738,False
2019-01-10,2019-01-11,v14,complete,ncar,"{""ncar"": 50}",50,0,0,179.27,98670c8b47da896a185b0164f7b993ec63fbf93aed52ecfc5dc46870297d766b,9a6be0e70d67be8e3db2c4c128d263b69484614de63fc98cb2a383febd68c902,False
2019-01-11,2019-01-12,v14,complete,ncar,"{""ncar"": 50}",50,0,0,166.64,58ee46cc05136767a4483fe413f8c0be497e9165c730baf8fe767c905564dd37,9fbbca8220bf673f61e46e95c51c695cec89bb3ae3fc3998309a2c4d62943831,False
2019-01-12,2019-01-13,v14,complete,ncar,"{""ncar"": 50}",50,0,0,143.74,5b12dbdaf563ddb772d8ea9c0f446bf1369a494314ec23129ad4a4d6edfee826,888a4a0d3b1ffe343c2769d68364a113423735c2d5cd0376bbebee1f32240292,False
2019-01-13,2019-01-14,v14,complete,ncar,"{""ncar"": 50}",50,0,0,166.5,f25f793e9fddb85feb98e2fabf5357a48e15871d66101e74a263119fa6410c14,8f9b30c0743842340f512c42c9f7e81d4aaffdf1cae576d0ff364748c1726fb4,False
2019-01-14,2019-01-15,v14,complete,ncar,"{""ncar"": 50}",50,0,0,171.52,956249fb5b8ee715c3ea99d6f65b1ef2a8fe96f53733a972071b9460f6fb1c29,3d68fe4f8c3dc563f4941fbcb2ea6e040506582d8ca784b586e6eafc4fad5f22,False
2019-01-15,2019-01-16,v14,complete,ncar,"{""ncar"": 50}",50,0,0,159.06,207210c924b37b50fc98f376ef3216f3e0cbcba27baae764454e5d0ad69efbce,9b70bf27c6756b00047355428d3fc61c54926b82af7f08d7e04a7897c5620bed,False
2019-01-16,2019-01-17,v14,complete,ncar,"{""ncar"": 50}",50,0,0,153.92,eb7cd902e9fa35066ce62f22e92d1d79a353d64c2bbf98a77d3841e2c3c5e0a0,21f10c5b3668d2eb23097534df758b09798116dc33696c11c218bea11be54281,False
2019-01-17,2019-01-18,v14,complete,ncar,"{""ncar"": 50}",50,0,0,190.84,934addd1e1b9df2cb843e3e98dca8273b64bb66186baedc947fb101ce5cdc1e9,15440741e0512d9f446d21ec090d7b8c860505b5d489e9905d863340eb258db4,False
2019-01-18,2019-01-19,v14,complete,ncar,"{""ncar"": 50}",50,0,0,194.62,2b1eb0c8beb2922ba36dd41a532e18e648e8b65b9b01b63bdc0fbf1f6c36016b,1816cc5a9cb1da229539c8a7cfc399f0113653db4b3a9cb87dcc967949e4f71e,False
2019-01-19,2019-01-20,v14,complete,ncar,"{""ncar"": 50}",50,0,0,178.15,361ab4fa69fd61fa1293ff827a776b4fe4f7cecede057ce635923fc91ce712a7,4288b49520283f74a86d72ebe550cafc55055e7c1c0347dd2d20105bb5b0c221,False
2019-01-20,2019-01-21,v14,complete,ncar,"{""ncar"": 50}",50,0,0,136.09,3ab99fce2c55cf5c7260771b4dfe13233a40161fe1e99532a67f9d1ac718f3ab,0344b0c77e4b4f404391d7d84600850dbb5098a6fbedc0ad82de61725d8c2283,False
2019-01-21,2019-01-22,v14,complete,ncar,"{""ncar"": 50}",50,0,0,104.54,0b8091c5b7e46966c6c145149b7ae37b75f5d702571e4144ccd456a9ca2c30f5,e5bf9b2884b69ff0b40e2a9da5163e5713e21974ea36dd507ca236710df95332,False
2019-01-22,2019-01-23,v14,complete,ncar,"{""ncar"": 50}",50,0,0,125.28,76d8feaaccc66affdec5852a27e23cbe0a332904f8c22fc36f2f55b76ac73ac1,b290f49705f90e699a1b66ace6d070ea080608e02ff1222b0d73d8cb18df817f,False
2019-01-23,2019-01-24,v14,complete,ncar,"{""ncar"": 50}",50,0,0,114.51,f389ab42a7da9aaf541ab35163e5022e23d04b85fe877f15c872acd02a6adab5,032a2435323aa7b2cb446721cd47890fb57fb23b324dfb436ef9990fe9f7a6a8,False
2019-01-24,2019-01-25,v14,complete,ncar,"{""ncar"": 50}",50,0,0,170.09,a734435ebd9d83abaf0ff04ce26d82953dfab8db09af5f61e6e914a342743361,366726ae85ad1271996b4ad56eb2fbef9a21d49e2c7bd20aabcbefc5d4b33839,False
2019-01-25,2019-01-26,v14,complete,ncar,"{""ncar"": 50}",50,0,0,121.04,328ba011670daa69697372ec255f98d58bd760767cf11f980e8579b1c1e1874e,2f034aae39fc75f653d3ccebea247a30e6c4212cda1f0d15e548e85f6dd15de7,False
2019-01-26,2019-01-27,v14,complete,ncar,"{""ncar"": 50}",50,0,0,153.62,76f3a2f3386355fc2a11afe83ec36f0411ca9429dd1579cc31171d2bb7659cc4,04db0a205493d69a7f9a86f72f988717bbcc9f07810fffaac8219d45b86e6722,False
2019-01-27,2019-01-28,v14,complete,ncar,"{""ncar"": 50}",50,0,0,257.21,c4bda2b1365c6298f1baa7fc2dea8a59fe3829accbd4f7e00bc7c57a43c0f6a5,14c6a639811cef264c7ca83010274c97b0ea143c1f1377dfb942f43d77f00bf6,False
