capture_utc_date,variable_listing,source,sha256,run,steps_21_48_listed,first_publication,last_publication,root_directory_latest_mtime,basis
2020-01-22,root,wayback_20200122002510_dwd_iconeu_00_root.html,fb27a15ac7da3d8bf00d89bd2756755d2b8818e3b2c315bfcb11a1ac70de82d9,,0,,,21-Jan-2020 03:44,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2022-03-08,tot_prec,wayback_20220308040020_dwd_iconeu_00_tot_prec.html,68743571af3c2dadf9b41b24f0af35a05de07165de6702dbac787985a9473cd7,2022030800,28,2022-03-08 02:56:00,2022-03-08 03:16:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2022-05-16,t_2m,wayback_20220516102913_dwd_iconeu_00_t_2m.html,2ef3861f61e2caf4369d7bdbca5af15737bcb6a4c43d523ddf51f34837141211,2022051600,28,2022-05-16 02:55:00,2022-05-16 03:16:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2022-08-16,t_g,wayback_20220816130949_dwd_iconeu_00_t_g.html,282eac93e5dd315d78fa3851bff9f52421d193946b6f4110c24e7030dafeba01,2022081600,28,2022-08-16 02:52:00,2022-08-16 03:13:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2022-12-04,u,wayback_20221204042807_dwd_iconeu_00_u.html,8933cbd771557bdbf9880558b1e6d5a8fe414ae4db116192262bf51d6cc33264,2022120400,28,2022-12-04 02:48:00,2022-12-04 03:16:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2023-01-04,aswdifd_s,wayback_20230104235804_dwd_iconeu_00_aswdifd_s.html,65a51b3c2a8d355399a25d04ea476706b65afb22c62d18eff9dd1206b571bbf7,2023010400,28,2023-01-04 02:53:00,2023-01-04 03:11:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2023-01-04,aswdir_s,wayback_20230104235804_dwd_iconeu_00_aswdir_s.html,ad9a96c9040f023ed23a2ae284903f100c5ebbad66639a82cac42eb558165821,2023010400,28,2023-01-04 02:53:00,2023-01-04 03:10:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2023-01-04,v_10m,wayback_20230104235804_dwd_iconeu_00_v_10m.html,e982789a83631791e0c119e63002f34009dbf04bdce1ef906b033ff246fed9f3,2023010400,28,2023-01-04 02:53:00,2023-01-04 03:10:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2023-07-03,t_2m,wayback_20230703134952_dwd_iconeu_00_t_2m.html,13f558758f3fac1250102d8d0cc51fc5f12603a6c543bc7b113538daf9329915,2023070300,28,2023-07-03 02:56:00,2023-07-03 03:13:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
2024-06-22,aswdir_s,wayback_20240622061722_dwd_iconeu_00_aswdir_s.html,87d41bd4a37cb945f9247b2e4684b26114ff11687575167373be0e3f4801161f,2024062200,28,2024-06-22 02:52:00,2024-06-22 03:08:00,,DWD opendata directory listing timestamps (server time; identical in CET and CEST captures)
