bundle,status,archive,run,endpoint,delivery_day,n_hours,hour_starts,leads_decoded,fields_all_leads,units,radiation_param,radiation_step_ranges,valid_equals_init_plus_lead,radiation_3h_blocks,radiation_min_block,radiation_max_block,wind10_box_mean_range,wind100_box_mean_range,supports_within_decoded,grid,ncar_aws_sizes_equal,ncar_aws_messages_identical,messages_hashed,radiation_packing_quantum,radiation_check,radiation_pass
gfs_2019-01-01.json,success,GFS,2019-01-01T00:00Z,ncar,2019-01-02,24,23..46,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-10.0,280.0,4.80-8.80,8.15-14.51,True,1440x721 d=0.25,,,50,10.0,min 3h block -10.000 >= -3 x quantum (-30),True
gfs_2019-03-30.json,success,GFS,2019-03-30T00:00Z,ncar,2019-03-31,23,23..45,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,0.0,790.0,2.72-4.70,4.83-7.01,True,1440x721 d=0.25,,,50,10.0,min 3h block 0.000 >= -3 x quantum (-30),True
gfs_2019-06-13.json,success,GFS,2019-06-13T00:00Z,ncar,2019-06-14,24,22..45,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-8.0,930.0,2.69-4.09,4.41-6.56,True,1440x721 d=0.25,,,50,10.0,min 3h block -8.000 >= -3 x quantum (-30),True
gfs_2019-10-26.json,success,GFS,2019-10-26T00:00Z,ncar,2019-10-27,25,22..46,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-10.0,500.0,4.30-5.48,6.61-9.73,True,1440x721 d=0.25,,,50,10.0,min 3h block -10.000 >= -3 x quantum (-30),True
gfs_2020-10-24.json,success,GFS,2020-10-24T00:00Z,ncar,2020-10-25,25,22..46,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-10.0,500.0,3.83-5.69,6.47-9.09,True,1440x721 d=0.25,,,50,10.0,min 3h block -10.000 >= -3 x quantum (-30),True
gfs_2021-03-23.json,success,GFS,2021-03-23T00:00Z,aws,2021-03-24,24,23..46,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,0.0,748.1,2.32-3.42,3.84-4.74,True,1440x721 d=0.25,True,True,50,0.02,min 3h block 0.000 >= -3 x quantum (-0.06),True
gfs_2022-03-26.json,success,GFS,2022-03-26T00:00Z,aws,2022-03-27,23,23..45,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,0.0,772.6,2.30-3.13,3.47-4.72,True,1440x721 d=0.25,,,50,0.02,min 3h block 0.000 >= -3 x quantum (-0.06),True
gfs_2022-08-25.json,success,GFS,2022-08-25T00:00Z,aws,2022-08-26,24,22..45,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-0.04,805.6,2.19-3.94,3.11-5.75,True,1440x721 d=0.25,,,50,0.02,min 3h block -0.040 >= -3 x quantum (-0.06),True
gfs_2024-03-30.json,success,GFS,2024-03-30T00:00Z,aws,2024-03-31,23,23..45,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,-0.02,695.8,2.22-2.97,3.74-5.31,True,1440x721 d=0.25,,,50,0.02,min 3h block -0.020 >= -3 x quantum (-0.06),True
gfs_2024-10-26.json,success,GFS,2024-10-26T00:00Z,aws,2024-10-27,25,22..46,10,True,ssrd:W m**-2 u10:m s**-1 u_hub:m s**-1 v10:m s**-1 v_hub:m s**-1,['0/4/192'],18-21 18-24 24-27 24-30 30-33 30-36 36-39 36-42 42-45 42-48,True,10,0.0,477.2,2.17-3.68,3.17-4.94,True,1440x721 d=0.25,,,50,0.02,min 3h block 0.000 >= -3 x quantum (-0.06),True
