archive,fold,field,run_00z,phase,class,detail
ICON,fold_1,u10,2019-01-01,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-02,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-03,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-04,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-05,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-06,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-07,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-08,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-09,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-10,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-11,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-12,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-13,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-14,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-15,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-16,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-17,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-18,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-19,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-20,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-21,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-22,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-23,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-24,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-25,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-26,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-27,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-28,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-29,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-30,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-01-31,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-01,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-02,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-03,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-04,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-05,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-06,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-07,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-08,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-09,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-10,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-11,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-12,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-13,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-14,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-15,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-16,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-17,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-18,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-19,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-20,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-21,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-22,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-23,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-24,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-25,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-26,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-27,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-02-28,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-01,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-02,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-03,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-04,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-05,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-06,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-07,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
ICON,fold_1,u10,2019-03-08,history,ARCHIVE_ABSENCE (outside archive span 2020-01-01..2025-08-09),
