archive,run,endpoint,status,started_utc,elapsed_s,error,manual_record
GFS,2022-08-25,aws,success,2026-09-23T12:54:48Z,14.7,,
ICON,2020-06-03,ocf-hf,failure,2026-09-23T12:57:27Z,1.6,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10cbd70e0>",
ICON,2020-10-24,ocf-hf,failure,2026-09-23T12:57:29Z,1.9,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10c1c30e0>",
ICON,2021-03-27,ocf-hf,failure,2026-09-23T12:57:31Z,1.9,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x1081e30e0>",
ICON,2022-03-26,ocf-hf,failure,2026-09-23T12:57:33Z,1.9,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10a00b0e0>",
ICON,2022-08-25,ocf-hf,failure,2026-09-23T12:57:35Z,1.8,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10cd870e0>",
ICON,2023-02-28,ocf-hf,failure,2026-09-23T12:57:37Z,1.9,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10af670e0>",
ICON,2023-03-25,ocf-hf,failure,2026-09-23T12:57:39Z,2.5,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10a3b2cf0>",
ICON,2023-04-01,ocf-hf,failure,2026-09-23T12:57:42Z,2.2,"ValueError: Starting with Zarr 2.11.0, stores must be subclasses of BaseStore, if your store exposes the MutableMapping interface wrap it in Zarr.storage.KVStore. Got <__main__.ZipStore object at 0x10a3facf0>",
GFS,2019-01-01,ncar,failure,2026-09-23T12:54:55Z,190,aborted by Lead: NCAR jump-locate found no v14 10 m wind message within 70 hops from two windows (locator calibration fault); no message decoded,True
ICON,2020-06-03,ocf-hf,success,2026-09-23T12:57:55Z,48.6,,
ICON,2020-10-24,ocf-hf,success,2026-09-23T12:59:00Z,43.3,,
ICON,2021-03-27,ocf-hf,success,2026-09-23T12:59:44Z,46.3,,
ICON,2022-03-26,ocf-hf,success,2026-09-23T13:00:30Z,47.6,,
GFS,2022-03-26,aws,success,2026-09-23T12:55:18Z,389.6,,
ICON,2022-08-25,ocf-hf,success,2026-09-23T13:01:18Z,61.1,,
ICON,2023-02-28,ocf-hf,success,2026-09-23T13:02:19Z,43.8,,
ICON,2023-03-25,ocf-hf,success,2026-09-23T13:03:03Z,63.1,,
ICON,2023-04-01,ocf-hf,failure,2026-09-23T13:04:06Z,,aborted by Lead to fix duplicate chunk reads (Mapping.__contains__ fetched values); not completed,True
ICON,2023-04-01,ocf-hf,success,2026-09-23T13:04:33Z,33.4,,
GFS,2019-06-13,ncar,failure,2026-09-23T13:00:40Z,,"aborted by Lead: v15 layout, 10 m wind not located at candidate fractions (locator calibration)",True
ICON,2024-10-26,ocf-hf,success,2026-09-23T13:05:12Z,37.8,,
ICON,2025-07-28,ocf-hf,success,2026-09-23T13:05:50Z,35.8,,
GFS,2019-01-01,ncar,success,2026-09-23T13:02:40Z,288.4,,
GFS,2019-06-13,ncar,success,2026-09-23T13:07:38Z,237.8,,
GFS,2024-03-30,aws,failure,2026-09-23T13:07:38Z,,aborted by Lead: target-message range read hung >4 min on a stalled connection after idx; to be retried,True
GFS,2024-10-26,aws,success,2026-09-23T13:12:15Z,15.3,,
GFS,2021-03-23,aws,success,2026-09-23T13:12:30Z,44.9,,
GFS,2026-03-28,aws,success,2026-09-23T13:13:15Z,45.0,,
GFS,2026-04-06,aws,success,2026-09-23T13:14:00Z,127.5,,
GFS,2019-10-26,ncar,success,2026-09-23T13:11:36Z,289.5,,
GFS,2024-03-30,aws,success,2026-09-23T13:16:34Z,14.6,,
GFS,2019-03-30,ncar,success,2026-09-23T13:12:33Z,288.2,,
GFS,2020-10-24,ncar,success,2026-09-23T13:17:21Z,301.6,,
